TargetID	ProbeID	SC-1.AVG_Signal	SC-1.Detection Pval	SC-2.AVG_Signal	SC-2.Detection Pval	SC-3.AVG_Signal	SC-3.Detection Pval	SC-4.AVG_Signal	SC-4.Detection Pval	SC-5.AVG_Signal	SC-5.Detection Pval	SC-6.AVG_Signal	SC-6.Detection Pval	SC-7.AVG_Signal	SC-7.Detection Pval	SC-8.AVG_Signal	SC-8.Detection Pval	SC-9.AVG_Signal	SC-9.Detection Pval	SC-10.AVG_Signal	SC-10.Detection Pval	SC-11.AVG_Signal	SC-11.Detection Pval	SC-12.AVG_Signal	SC-12.Detection Pval	SC-13.AVG_Signal	SC-13.Detection Pval	SC-14.AVG_Signal	SC-14.Detection Pval	SC-15.AVG_Signal	SC-15.Detection Pval	SC-16.AVG_Signal	SC-16.Detection Pval	SC-17.AVG_Signal	SC-17.Detection Pval	SC-18.AVG_Signal	SC-18.Detection Pval	SC-19.AVG_Signal	SC-19.Detection Pval	SC-20.AVG_Signal	SC-20.Detection Pval	SC-21.AVG_Signal	SC-21.Detection Pval	SC-22.AVG_Signal	SC-22.Detection Pval	SC-23.AVG_Signal	SC-23.Detection Pval	SC-24.AVG_Signal	SC-24.Detection Pval	SC-25.AVG_Signal	SC-25.Detection Pval	SC-26.AVG_Signal	SC-26.Detection Pval	SC-27.AVG_Signal	SC-27.Detection Pval	SC-28.AVG_Signal	SC-28.Detection Pval	SC-29.AVG_Signal	SC-29.Detection Pval	SC-30.AVG_Signal	SC-30.Detection Pval	SC-31.AVG_Signal	SC-31.Detection Pval	SC-32.AVG_Signal	SC-32.Detection Pval	SC-33.AVG_Signal	SC-33.Detection Pval	SC-34.AVG_Signal	SC-34.Detection Pval	SC-35.AVG_Signal	SC-35.Detection Pval	SC-36.AVG_Signal	SC-36.Detection Pval

BIOTIN	5090180	7901.1	0	7610.7	0	7273.5	0	8295.7	0	8101.2	0	8917.6	0	8303.5	0	8497.7	0	7886.1	0	8629.9	0	8136.8	0	7919.9	0	8087.5	0	8362.6	0	7660.8	0	7522.7	0	7872.8	0	8360.3	0	7709.2	0	7133.9	0	7843.3	0	7954.9	0	7671.6	0	7995.7	0	7894.2	0	7817.7	0	7812.1	0	7887.3	0	7844.1	0	7525	0	7207.2	0	7407.5	0	8156.1	0	7911.4	0	7615.3	0	7912.8	0

BIOTIN	6510136	7860.3	0	7691	0	8063.1	0	7746.2	0	8090.1	0	8699.2	0	8677.4	0	9127.6	0	8691.3	0	8332.3	0	8734.8	0	8298.6	0	8493.2	0	7614.8	0	7956.3	0	8233.8	0	8314.5	0	8594.8	0	7727.7	0	7342.3	0	8307.2	0	7848.2	0	8427.8	0	7872.4	0	8331.4	0	8044.8	0	7756.3	0	8160.9	0	8059.4	0	7579.2	0	7670	0	7928.8	0	8143.6	0	8654.7	0	8024.7	0	7867.7	0

CY3_HYB	1110170	8761	0	9322.1	0	9610.7	0	10335.1	0	9834.7	0	10048.8	0	9672.8	0	10166.5	0	9396.4	0	9385.1	0	9587.2	0	9659.6	0	9267.2	0	9359.8	0	8935.7	0	8980	0	9221.3	0	9188.2	0	8428.2	0	8863.9	0	9500.8	0	8641.4	0	9192.2	0	8989.7	0	8920	0	8710.9	0	8983.1	0	9365.5	0	9366.6	0	8769.2	0	8910.2	0	9115.4	0	9196.4	0	9584.7	0	9301.9	0	9706.2	0

CY3_HYB	1450438	390.7	0	391.7	0	389	0	402.1	0	374.9	0	374.3	0	362.1	0	399.9	0	372.4	0	386.7	0	368.8	0	374	0	375.5	0	363.8	0	375.7	0	377.4	0	379.9	0	373.3	0	372.3	0	358.5	0	335.7	0	373.6	0	350.3	0	372.8	0	402.8	0	378.7	0	366.1	0	381.5	0	359.9	0	368	0	373.1	0	373.4	0	377.9	0	364.4	0	368.9	0	377.7	0

CY3_HYB	2510500	3071.1	0	2974.8	0	3088.3	0	3228.3	0	3057.4	0	2979.8	0	3189.7	0	3359	0	2911.6	0	3063.5	0	2976	0	3061.2	0	3028.3	0	3146.7	0	2957.5	0	3041.4	0	2994.8	0	2963.2	0	3059.5	0	2911	0	3102.8	0	2945.2	0	3274.5	0	2958.6	0	3244.8	0	2959.1	0	3060.7	0	3023	0	2992.5	0	3067.9	0	2994.4	0	2862	0	2954	0	3002.3	0	3046.1	0	2991.1	0
