TargetID	ProbeID	SC-37.AVG_Signal	SC-37.Detection Pval	SC-38.AVG_Signal	SC-38.Detection Pval	SC-39.AVG_Signal	SC-39.Detection Pval	SC-40.AVG_Signal	SC-40.Detection Pval	SC-41.AVG_Signal	SC-41.Detection Pval	SC-42.AVG_Signal	SC-42.Detection Pval	SC-43.AVG_Signal	SC-43.Detection Pval	SC-44.AVG_Signal	SC-44.Detection Pval	SC-45.AVG_Signal	SC-45.Detection Pval	SC-46.AVG_Signal	SC-46.Detection Pval	SC-47.AVG_Signal	SC-47.Detection Pval	SC-48.AVG_Signal	SC-48.Detection Pval	SC-49.AVG_Signal	SC-49.Detection Pval	SC-50.AVG_Signal	SC-50.Detection Pval	SC-51.AVG_Signal	SC-51.Detection Pval	SC-52.AVG_Signal	SC-52.Detection Pval	SC-53.AVG_Signal	SC-53.Detection Pval	SC-54.AVG_Signal	SC-54.Detection Pval	SC-55.AVG_Signal	SC-55.Detection Pval	SC-56.AVG_Signal	SC-56.Detection Pval	SC-57.AVG_Signal	SC-57.Detection Pval	SC-58.AVG_Signal	SC-58.Detection Pval	SC-59.AVG_Signal	SC-59.Detection Pval	SC-60.AVG_Signal	SC-60.Detection Pval	SC-61.AVG_Signal	SC-61.Detection Pval	SC-62.AVG_Signal	SC-62.Detection Pval	SC-63.AVG_Signal	SC-63.Detection Pval	SC-64.AVG_Signal	SC-64.Detection Pval	SC-65.AVG_Signal	SC-65.Detection Pval	SC-66.AVG_Signal	SC-66.Detection Pval	SC-67.AVG_Signal	SC-67.Detection Pval	SC-68.AVG_Signal	SC-68.Detection Pval	SC-69.AVG_Signal	SC-69.Detection Pval	SC-70.AVG_Signal	SC-70.Detection Pval	SC-71.AVG_Signal	SC-71.Detection Pval	SC-72.AVG_Signal	SC-72.Detection Pval

BIOTIN	5090180	6831.1	0	7318.6	0	6844.6	0	6524.9	0	7011.9	0	6669.1	0	6050.1	0	7434.8	0	6964.3	0	6567.8	0	6817.1	0	6625.7	0	8214.9	0	7412.3	0	7372.8	0	7392.7	0	7349.5	0	7387.5	0	7340.8	0	7472.5	0	6887	0	7327	0	7237.5	0	7359.3	0	7092.5	0	7441.6	0	7297.1	0	6902.7	0	7152.5	0	6712.9	0	6986.7	0	7466	0	7507.1	0	7027.8	0	7485.3	0	6875.4	0

BIOTIN	6510136	7264.6	0	7853.6	0	7323.8	0	7736.1	0	7512.7	0	7988.9	0	7565.3	0	7826.6	0	7588.9	0	7870.1	0	7867.9	0	7525.6	0	7806.2	0	7635.5	0	6937.2	0	7840.9	0	7739.4	0	7977.6	0	7981	0	7447.9	0	7141	0	7545.5	0	7682.5	0	7337.6	0	7780	0	7781.1	0	7731.9	0	7523.1	0	7916.3	0	7255.6	0	7329	0	7817.5	0	8435.1	0	8415.4	0	8332.9	0	7527.3	0

CY3_HYB	1110170	8409	0	8929.3	0	7792.3	0	8824.1	0	8191.6	0	8554.7	0	8494.1	0	9157.5	0	8278.3	0	8620.6	0	8727.5	0	7802	0	9045	0	9520.8	0	8532.3	0	8947	0	9342	0	9277.2	0	9209.8	0	8426.6	0	8226.3	0	9246.2	0	8740.5	0	8576.2	0	9067.7	0	8443.6	0	8546.6	0	8317.8	0	8866.4	0	8126.2	0	8498.9	0	8783.5	0	8940.3	0	8702.8	0	9221.9	0	8709.3	0

CY3_HYB	1450438	320.8	0	312.2	0	320.7	0	317.3	0	306.8	0	325.8	0	306.3	0	334.5	0	327	0	316.9	0	365.2	0	326.7	0	334.4	0	344.2	0	327.1	0	347.3	0	341.3	0	333.9	0	331.9	0	340.5	0	323.5	0	335.1	0	326.1	0	343.3	0	322.3	0	328.9	0	325.4	0	311.5	0	328.8	0	318.3	0	341.1	0	326.2	0	322.3	0	326.4	0	312.7	0	334.4	0

CY3_HYB	2510500	2569.3	0	2509.5	0	2644	0	2594.4	0	2373.6	0	2549.7	0	2527.1	0	2710.9	0	2542.8	0	2614.3	0	2647.1	0	1951.1	0	2682.3	0	2820.7	0	2605.1	0	2648	0	2757.4	0	2775.6	0	2604.8	0	2726.3	0	2783.6	0	2898.6	0	2694.4	0	2801	0	2660	0	2672.9	0	2739.6	0	2599.8	0	2565.1	0	2600.6	0	2496.5	0	2625.7	0	2652.6	0	2604.6	0	2722.4	0	2500.4	0

CY3_HYB	4010327	9686.7	0	9888.9	0	9443	0	9458	0	9758.1	0	9226.9	0	8651.9	0	9414.1	0	9828.4	0	9577.5	0	8978.3	0	9280.1	0	10185.2	0	9821.7	0	9931.8	0	9954.9	0	9833.8	0	10095.1	0	9436.9	0	9933.4	0	9136.9	0	9697.7	0	9736.7	0	9262.4	0	9481.4	0	9668.4	0	9645.1	0	10207.3	0	9795	0	9099.9	0	9621.2	0	9902	0	9846.1	0	10257.3	0	10382.8	0	9871.6	0

CY3_HYB	4610291	2141.5	0	2227.9	0	2106.4	0	2175.8	0	2199	0	2171.9	0	2065.9	0	2143.1	0	2150.2	0	2161.7	0	2341.8	0	2181.4	0	2258	0	2329.1	0	2198.1	0	2245.6	0	2334.8	0	2400.2	0	2306.3	0	2220.2	0	2195	0	2290.6	0	2232.1	0	2318.1	0	2333.9	0	2240.7	0	2228.9	0	2243	0	2330.1	0	2342.5	0	2325	0	2259.6	0	2307.7	0	2321.7	0	2344.2	0	2331.4	0

CY3_HYB	7560739	275.5	0	278.1	0	287.3	0	291.3	0	265.5	0	276.6	0	272.4	0	283.2	0	265.5	0	268.8	0	289	0	243.7	0	308.9	0	317	0	309.3	0	319.4	0	295.2	0	314.3	0	297.3	0	306.4	0	298.9	0	303.5	0	298.6	0	304.9	0	315.1	0	311.6	0	325.1	0	314	0	307.8	0	318.1	0	325.8	0	324.8	0	306.2	0	331.3	0	324.8	0	314.1	0

ERCC-00002	430220	84.5	0.90519	83.1	0.91558	84.3	0.7039	84.1	0.92597	85.6	0.50649	83	0.82987	77.3	0.9961	84.3	0.93896	83.9	0.94286	79.8	0.97143	83	0.92208	81.4	0.97013	87.1	0.65455	81.7	0.9974	87.2	0.76883	85.1	0.98571	88.8	0.76364	86.7	0.73636	86.7	0.9013	85.5	0.93896	87.1	0.78701	82.7	0.97403	78.5	0.9987	89.3	0.77532	83.4	0.88701	84.8	0.82468	86.5	0.90649	86.4	0.80779	88.8	0.68052	87.6	0.72468	83.8	0.95844	87.9	0.57273	86.7	0.81039	89.6	0.28961	86.8	0.65584	88.3	0.72727

ERCC-00003	6370471	86.5	0.78312	85.3	0.7961	80.4	0.95844	89	0.53896	87	0.34935	82.2	0.87792	83.5	0.77532	91.2	0.42987	85.4	0.85584	84.1	0.76883	86	0.74935	89.3	0.34935	85.3	0.78831	94.3	0.35844	86.6	0.82597	90.6	0.83766	83.2	0.98701	91.8	0.29351	91.2	0.6026	88.5	0.78182	89.3	0.61299	85.7	0.89221	80.9	0.98571	86.9	0.8987	86.9	0.57013	84.5	0.84026	87	0.86883	88.3	0.61169	90.7	0.5039	92.6	0.25325	90.2	0.48442	87.7	0.58701	88.2	0.68442	89.7	0.28052	84	0.89351	85.5	0.93506

ERCC-00004	6940240	83.2	0.95844	83.9	0.86494	85.9	0.53766	84.6	0.90779	82.1	0.83636	80	0.96753	78.3	0.98571	89	0.64026	83.6	0.95325	83.1	0.82857	87.7	0.6026	84.1	0.83117	80	0.98571	86.6	0.92078	85.1	0.8987	88.6	0.93636	87.2	0.84156	82.6	0.97532	85.5	0.94286	88.5	0.77922	84.1	0.94156	88.4	0.68182	88.1	0.57143	87.3	0.89221	89	0.32597	84.1	0.87662	87.2	0.85974	88.6	0.57273	88.8	0.68052	92.4	0.26753	84.7	0.93247	85.5	0.80909	84.2	0.92727	82.7	0.94675	85.3	0.8026	85.2	0.94675

