TargetID	ProbeID	SC-73.AVG_Signal	SC-73.Detection Pval	SC-74.AVG_Signal	SC-74.Detection Pval	SC-75.AVG_Signal	SC-75.Detection Pval	SC-76.AVG_Signal	SC-76.Detection Pval	SC-77.AVG_Signal	SC-77.Detection Pval	SC-78.AVG_Signal	SC-78.Detection Pval	SC-79.AVG_Signal	SC-79.Detection Pval	SC-80.AVG_Signal	SC-80.Detection Pval	SC-81.AVG_Signal	SC-81.Detection Pval	SC-82.AVG_Signal	SC-82.Detection Pval	SC-83.AVG_Signal	SC-83.Detection Pval	SC-84.AVG_Signal	SC-84.Detection Pval

BIOTIN	5090180	8413	0	8350.7	0	7499.6	0	7643	0	7678.4	0	7565.7	0	7442.2	0	8085.2	0	8250.5	0	7625.4	0	7631.9	0	7414.2	0

BIOTIN	6510136	8181.7	0	7994.3	0	7949.7	0	7798	0	7134.8	0	7658.6	0	8105.1	0	7774.3	0	8464.9	0	7921.4	0	7962.8	0	7817.2	0

CY3_HYB	1110170	9751.5	0	9326.6	0	9026	0	9301.8	0	9298.6	0	9253.8	0	9366.7	0	9477	0	9628	0	9196.8	0	8931.5	0	9745.3	0

CY3_HYB	1450438	370.5	0	381.1	0	360.5	0	369.1	0	363	0	344.9	0	348.3	0	346.8	0	353.3	0	341.6	0	377.5	0	344	0

CY3_HYB	2510500	3057.3	0	2951.9	0	3106	0	2958.6	0	2805.3	0	2982.5	0	3052.4	0	2756.4	0	3019.9	0	2971.6	0	2984.2	0	3124.2	0

CY3_HYB	4010327	10224.5	0	10321.6	0	10033	0	10004.7	0	9689.4	0	10509.9	0	10654.7	0	9924.8	0	10439.5	0	10259.9	0	10025	0	10493.1	0

CY3_HYB	4610291	2553.2	0	2624.7	0	2417.8	0	2552	0	2397.1	0	2549.2	0	2580.1	0	2616.8	0	2540.6	0	2762.9	0	2583.1	0	2514.3	0

CY3_HYB	7560739	320.9	0	348.1	0	328	0	346.4	0	356.5	0	337.4	0	341	0	334.3	0	346.9	0	363.2	0	369.9	0	347.8	0

ERCC-00002	430220	87	0.57013	83.2	0.87532	83.1	0.93766	83.5	0.83896	89.5	0.85844	77.9	0.99481	83.5	0.9026	81.8	0.98182	84.3	0.87403	82.4	0.88312	84.9	0.74026	78.5	0.9961

ERCC-00003	6370471	82.6	0.94026	86.6	0.6039	88.9	0.4961	86.4	0.58442	89.6	0.85455	85	0.69091	85.3	0.76494	85.2	0.82597	87.8	0.52597	82.9	0.85455	86.4	0.54156	85.1	0.74805

ERCC-00004	6940240	85.5	0.72727	81.4	0.94286	81.8	0.97922	83	0.86364	90.1	0.83636	82.4	0.88831	84.3	0.86234	83.1	0.94026	83.4	0.92208	84.6	0.70649	81.3	0.95455	81.7	0.95455

ERCC-00009	60372	84.7	0.80779	85.6	0.70519	88.8	0.50779	85.4	0.67792	91.5	0.71429	79.7	0.98312	82.6	0.93636	79.4	0.9961	82.9	0.93896	85.3	0.63766	81.2	0.95714	82.1	0.94545

